project,file_path,language,dataset_type,loc_total,loc_blank,loc_comments,loc_code_and_comment,loc_executable,halstead_n1,halstead_n2,halstead_N1,halstead_N2,halstead_vocabulary,halstead_length,halstead_volume,halstead_difficulty,halstead_effort,wmc,dit,noc,cbo,rfc,lcom,cyclomatic_complexity,essential_complexity,design_complexity,num_methods,num_fields,num_classes,num_interfaces,branch_count,call_pairs,condition_count,normalized_cyclomatic_complexity,percent_comments,maintainability_index,edge_count,node_count,unique_operands,unique_operators,total_operands,total_operators,parameter_count,max_nested_blocks,defects,average_token_count,max_complexity
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\FilterChain.java,java,promise_professional,671,497,7,671,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\FilterChainImpl.java,java,promise_professional,4504,759,7,4504,3995,300,13528,27057,27057,13828,54114,757596,300.01108811354226,227287200.31046715,0,0,0,0,0,0,2.0841683366733466,1,499,499,0,1,0,541,27057,1040,0.00046273719730758136,0,0,1040,499,13528,300,27057,27057,1186,24,0,54.22244488977956,6
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\FilterEventAdapter.java,java,promise_professional,404,120,0,404,371,29,1157,2315,2315,1186,4630,50930,29.012532411408817,1477608.275713051,0,0,0,0,0,0,1.9772727272727273,1,44,44,0,1,0,43,2315,87,0.004894239423942394,0,0,87,44,1157,29,2315,2315,126,21,0,52.61363636363637,5
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\FilterManager.java,java,promise_professional,125,31,0,125,103,6,326,653,653,332,1306,11754,6.00920245398773,70632.16564417178,0,0,0,0,0,0,4.0,2,7,7,0,1,0,21,653,28,0.032,0,0,28,7,326,6,653,653,9,50,0,93.28571428571429,14
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\config\ConfigFilter.java,java,promise_professional,165,40,2,165,139,8,446,893,893,454,1786,16074,8.008968609865471,128736.16143497759,0,0,0,0,0,0,5.25,2,8,8,0,1,0,34,893,42,0.031818181818181815,0,0,42,8,446,8,893,893,10,38,0,111.625,8
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\config\ConfigTools.java,java,promise_professional,157,36,3,157,135,8,513,1027,1027,521,2054,20540,8.007797270955166,164480.1559454191,0,0,0,0,0,0,2.25,1,12,12,0,1,0,15,1027,27,0.014331210191082803,0,0,27,12,513,8,1027,1027,16,23,0,85.58333333333333,5
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\encoding\CharsetConvert.java,java,promise_professional,27,10,0,27,20,4,69,138,138,73,276,1932,4.0,7728.0,0,0,0,0,0,0,2.75,1,4,4,0,1,0,7,138,11,0.10185185185185185,0,0,11,4,69,4,138,138,5,6,0,34.5,3
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\encoding\CharsetParameter.java,java,promise_professional,20,10,2,20,12,4,21,42,42,25,84,420,4.0,1680.0,0,0,0,0,0,0,1.0,1,4,4,0,1,0,0,42,4,0.05,0,0,4,4,21,4,42,42,2,3,0,10.5,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\encoding\EncodingConvertFilter.java,java,promise_professional,528,92,8,528,455,25,1956,3912,3912,1981,7824,86064,25.0,2151600.0,0,0,0,0,0,0,1.7118644067796611,1,59,59,0,1,0,42,3912,101,0.0032421674370826914,0,0,101,59,1956,25,3912,3912,227,25,0,66.30508474576271,5
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\logging\CommonsLogFilter.java,java,promise_professional,117,27,0,117,88,24,243,486,486,267,972,8748,24.0,209952.0,0,0,0,0,0,0,1.4583333333333333,1,24,24,0,1,0,11,486,35,0.012464387464387463,0,0,35,24,243,24,486,486,15,6,0,20.25,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\logging\CommonsLogFilterMBean.java,java,promise_professional,3,2,0,3,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,122.4,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\logging\Log4j2Filter.java,java,promise_professional,109,27,0,109,80,24,209,418,418,233,836,6688,24.0,160512.0,0,0,0,0,0,0,1.2916666666666667,1,24,24,0,1,0,7,418,31,0.011850152905198778,0,0,31,24,209,24,418,418,15,4,0,17.416666666666668,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\logging\Log4j2FilterMBean.java,java,promise_professional,3,2,0,3,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,122.4,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\logging\Log4jFilter.java,java,promise_professional,109,27,0,109,80,24,213,427,427,237,854,6832,24.056338028169016,164352.9014084507,0,0,0,0,0,0,1.2916666666666667,1,24,24,0,1,0,7,427,31,0.011850152905198778,0,0,31,24,213,24,427,427,15,4,0,17.791666666666668,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\logging\Log4jFilterMBean.java,java,promise_professional,3,2,0,3,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,122.4,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\logging\LogFilter.java,java,promise_professional,784,171,1,784,696,92,2156,4313,4313,2248,8626,103512,92.0213358070501,9525312.51205937,0,0,0,0,0,0,2.2222222222222223,1,99,99,0,1,0,121,4313,220,0.002834467120181406,0,0,220,99,2156,92,4313,4313,111,61,0,43.56565656565657,16
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\logging\LogFilterMBean.java,java,promise_professional,62,64,3,62,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\logging\Slf4jLogFilter.java,java,promise_professional,115,31,0,115,85,25,218,436,436,243,872,6976,25.0,174400.0,0,0,0,0,0,0,1.2692307692307692,1,26,26,0,1,0,7,436,33,0.011036789297658863,0,0,33,26,218,25,436,436,16,4,0,16.76923076923077,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\mysql8datetime\MySQL8DateTimeResultSetMetaData.java,java,promise_professional,108,28,0,108,77,24,220,440,440,244,880,7040,24.0,168960.0,0,0,0,0,0,0,1.0416666666666667,1,24,24,0,1,0,1,440,25,0.009645061728395063,0,0,25,24,220,24,440,440,23,7,0,18.333333333333332,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\mysql8datetime\MySQL8DateTimeSqlTypeFilter.java,java,promise_professional,28,7,1,28,15,3,58,116,116,61,232,1392,3.0,4176.0,0,0,0,0,0,0,1.25,1,4,4,0,1,0,1,116,5,0.044642857142857144,0,0,5,4,58,3,116,116,9,6,0,29.0,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\stat\MergeStatFilter.java,java,promise_professional,17,4,0,17,12,3,34,68,68,37,136,816,3.0,2448.0,0,0,0,0,0,0,2.0,1,3,3,0,1,0,3,68,6,0.11764705882352941,0,0,6,3,34,3,68,68,2,6,0,22.666666666666668,3
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\stat\StatFilter.java,java,promise_professional,875,238,5,875,484,44,1717,3434,3434,1761,6868,75548,44.0,3324112.0,0,0,0,0,0,0,2.5208333333333335,1,48,48,0,1,0,73,3434,121,0.002880952380952381,0,0,121,48,1717,44,3434,3434,68,54,0,71.54166666666667,17
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\stat\StatFilterContext.java,java,promise_professional,103,23,0,103,96,18,328,657,657,346,1314,11826,18.027439024390244,213192.49390243902,0,0,0,0,0,0,1.7777777777777777,1,18,18,0,1,0,14,657,32,0.017259978425026967,0,0,32,18,328,18,657,657,12,6,0,36.5,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\stat\StatFilterContextListener.java,java,promise_professional,17,15,0,17,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\stat\StatFilterContextListenerAdapter.java,java,promise_professional,45,16,0,45,28,14,46,93,93,60,186,1116,14.152173913043478,15793.826086956522,0,0,0,0,0,0,1.0,1,14,14,0,1,0,0,93,14,0.022222222222222223,0,0,14,14,46,14,93,93,10,2,0,6.642857142857143,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\filter\stat\StatFilterMBean.java,java,promise_professional,10,8,0,10,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,9.0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockArray.java,java,promise_professional,53,16,0,53,34,6,91,182,182,97,364,2548,6.0,15288.0,0,0,0,0,0,0,1.0,1,12,12,0,1,0,0,182,12,0.018867924528301886,0,0,12,12,91,6,182,182,12,3,0,15.166666666666666,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockBlob.java,java,promise_professional,55,15,0,55,34,8,103,206,206,111,412,2884,8.0,23072.0,0,0,0,0,0,0,1.0,1,11,11,0,1,0,0,206,11,0.01818181818181818,0,0,11,11,103,8,206,206,16,6,0,18.727272727272727,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockCallableStatement.java,java,promise_professional,510,137,0,510,385,55,1225,2451,2451,1280,4902,53922,55.022448979591836,2966920.493877551,0,0,0,0,0,0,1.0869565217391304,1,115,115,0,1,0,10,2451,125,0.002131287297527707,0,0,125,115,1225,55,2451,2451,197,10,0,21.31304347826087,3
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockClob.java,java,promise_professional,67,19,0,67,46,11,119,238,238,130,476,3808,11.0,41888.0,0,0,0,0,0,0,1.0666666666666667,1,15,15,0,1,0,1,238,16,0.015920398009950248,0,0,16,15,119,11,238,238,18,6,0,15.866666666666667,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockConnection.java,java,promise_professional,355,115,2,355,295,48,745,1491,1491,793,2982,29820,48.03221476510067,1432320.644295302,0,0,0,0,0,0,1.3225806451612903,1,62,62,0,1,0,20,1491,82,0.00372557928214448,0,0,82,62,745,48,1491,1491,58,12,0,24.048387096774192,4
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockConnectionClosedException.java,java,promise_professional,8,4,0,8,3,1,4,9,9,5,18,54,1.125,60.75,0,0,0,0,0,0,1.0,1,1,1,0,1,0,0,9,1,0.125,0,36.20000000000002,1,1,4,1,9,9,0,3,0,9.0,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockDriver.java,java,promise_professional,232,78,1,232,194,34,577,1154,1154,611,2308,23080,34.0,784720.0,0,0,0,0,0,0,1.7352941176470589,1,34,34,0,1,0,25,1154,59,0.007479716024340771,0,0,59,34,577,34,1154,1154,27,39,0,33.94117647058823,9
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockDriverMBean.java,java,promise_professional,15,13,0,15,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockNClob.java,java,promise_professional,4,3,0,4,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,106.2,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockParameterMetaData.java,java,promise_professional,115,34,0,115,86,29,203,407,407,232,814,6512,29.071428571428573,189313.14285714287,0,0,0,0,0,0,1.0,1,29,29,0,1,0,0,407,29,0.008695652173913044,0,0,29,29,203,29,407,407,18,3,0,14.03448275862069,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockPreparedStatement.java,java,promise_professional,55,22,0,55,43,7,115,230,230,122,460,3220,7.0,22540.0,0,0,0,0,0,0,1.8571428571428572,1,7,7,0,1,0,6,230,13,0.03376623376623377,0,0,13,7,115,7,230,230,2,12,0,32.857142857142854,4
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockRef.java,java,promise_professional,27,9,0,27,15,4,33,66,66,37,132,792,4.0,3168.0,0,0,0,0,0,0,1.0,1,5,5,0,1,0,0,66,5,0.037037037037037035,0,0,5,5,33,4,66,66,3,3,0,13.2,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockResultSet.java,java,promise_professional,65,17,0,65,49,8,123,247,247,131,494,3952,8.032520325203253,31744.520325203255,0,0,0,0,0,0,1.5555555555555556,1,9,9,0,1,0,5,247,14,0.023931623931623933,0,0,14,9,123,8,247,247,6,10,0,27.444444444444443,3
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockResultSetMetaData.java,java,promise_professional,7,5,0,7,2,1,2,5,5,3,10,20,1.25,25.0,0,0,0,0,0,0,1.0,1,1,1,0,1,0,0,5,1,0.14285714285714285,0,52.40000000000002,1,1,2,1,5,5,0,2,0,5.0,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockRowId.java,java,promise_professional,17,8,0,17,11,3,21,43,43,24,86,430,3.0714285714285716,1320.7142857142858,0,0,0,0,0,0,1.0,1,4,4,0,1,0,0,43,4,0.058823529411764705,0,0,4,4,21,3,43,43,2,3,0,10.75,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockSavepoint.java,java,promise_professional,18,8,0,18,12,4,21,42,42,25,84,420,4.0,1680.0,0,0,0,0,0,0,1.0,1,4,4,0,1,0,0,42,4,0.05555555555555555,0,0,4,4,21,4,42,42,2,3,0,10.5,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockSQLXML.java,java,promise_professional,45,13,0,45,25,9,48,96,96,57,192,1152,9.0,10368.0,0,0,0,0,0,0,1.0,1,9,9,0,1,0,0,96,9,0.022222222222222223,0,0,9,9,48,9,96,96,3,3,0,10.666666666666666,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockStatement.java,java,promise_professional,63,22,0,63,48,7,126,252,252,133,504,4032,7.0,28224.0,0,0,0,0,0,0,2.142857142857143,1,7,7,0,1,0,8,252,15,0.03401360544217687,0,0,15,7,126,7,252,252,5,11,0,36.0,3
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockStatementBase.java,java,promise_professional,6,3,0,6,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,73.80000000000001,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\MockStruct.java,java,promise_professional,18,6,0,18,9,2,19,38,38,21,76,380,2.0,760.0,0,0,0,0,0,0,1.0,1,3,3,0,1,0,0,38,3,0.05555555555555555,0,0,3,3,19,2,38,38,1,3,0,12.666666666666666,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\handler\MockExecuteHandler.java,java,promise_professional,7,4,0,7,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,57.60000000000001,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\mock\handler\MySqlMockExecuteHandlerImpl.java,java,promise_professional,120,28,0,120,99,3,415,830,830,418,1660,14940,3.0,44820.0,0,0,0,0,0,0,6.0,3,4,4,0,1,0,20,830,24,0.05,0,0,24,4,415,3,830,830,7,49,0,207.5,12
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DataSourceClosedException.java,java,promise_professional,8,5,0,8,3,1,6,12,12,7,24,72,1.0,72.0,0,0,0,0,0,0,1.0,1,1,1,0,1,0,0,12,1,0.125,0,36.20000000000002,1,1,6,1,12,12,1,3,0,12.0,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DataSourceDisableException.java,java,promise_professional,14,7,0,14,9,1,16,33,33,17,66,330,1.03125,340.3125,0,0,0,0,0,0,1.0,1,3,3,0,1,0,0,33,3,0.07142857142857142,0,0,3,3,16,1,33,33,2,3,0,11.0,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DataSourceNotAvailableException.java,java,promise_professional,8,5,0,8,3,1,6,12,12,7,24,72,1.0,72.0,0,0,0,0,0,0,1.0,1,1,1,0,1,0,0,12,1,0.125,0,36.20000000000002,1,1,6,1,12,12,1,3,0,12.0,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidAbstractDataSource.java,java,promise_professional,1856,434,29,1856,1586,254,4176,8353,8353,4430,16706,217178,254.03041187739464,55169816.79070881,0,0,0,0,0,0,1.748091603053435,1,262,262,0,1,0,196,8353,458,0.0009418596999210318,0,0,458,262,4176,254,8353,8353,126,129,0,31.88167938931298,42
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidAbstractDataSourceMBean.java,java,promise_professional,82,79,0,82,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidConnectionHolder.java,java,promise_professional,374,79,6,374,309,40,775,1551,1551,815,3102,31020,40.0258064516129,1241600.5161290322,0,0,0,0,0,0,1.8571428571428572,1,42,42,0,1,0,36,1551,78,0.004965622612681436,0,0,78,42,775,40,1551,1551,21,96,0,36.92857142857143,21
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSource.java,java,promise_professional,3236,634,60,3236,3065,145,9065,18131,18131,9210,36262,507668,145.0079977937121,73615920.22393823,0,0,0,0,0,0,4.8734177215189876,2,158,158,0,1,0,612,18131,770,0.0015060005319897983,0,0,770,158,9065,145,18131,18131,69,196,0,114.75316455696202,48
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSourceC3P0Adapter.java,java,promise_professional,359,113,3,359,317,99,692,1384,1384,791,2768,27680,99.0,2740320.0,0,0,0,0,0,0,1.02,1,100,100,0,1,0,2,1384,102,0.002841225626740947,0,0,102,100,692,99,1384,1384,45,12,0,13.84,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSourceC3P0AdapterMBean.java,java,promise_professional,28,27,1,28,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSourceFactory.java,java,promise_professional,342,55,2,342,231,4,855,1710,1710,859,3420,34200,4.0,136800.0,0,0,0,0,0,0,12.0,6,5,5,0,1,0,55,1710,60,0.03508771929824561,0,0,60,5,855,4,1710,1710,9,196,0,342.0,50
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSourceMBean.java,java,promise_professional,39,36,0,39,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSourceStatLogger.java,java,promise_professional,9,7,0,9,0,1,1,0,0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,25.200000000000017,0,0,1,1,0,0,0,0,0,0,0
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSourceStatLoggerAdapter.java,java,promise_professional,17,8,0,17,8,4,14,28,28,18,56,280,4.0,1120.0,0,0,0,0,0,0,1.0,1,4,4,0,1,0,0,28,4,0.058823529411764705,0,0,4,4,14,4,28,28,4,2,0,7.0,1
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSourceStatLoggerImpl.java,java,promise_professional,176,52,0,176,158,7,647,1294,1294,654,2588,25880,7.0,181160.0,0,0,0,0,0,0,5.625,2,8,8,0,1,0,37,1294,45,0.03196022727272727,0,0,45,8,647,7,1294,1294,5,128,0,161.75,34
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidDataSourceStatValue.java,java,promise_professional,425,136,1,425,323,101,583,1166,1166,684,2332,23320,101.0,2355320.0,0,0,0,0,0,0,1.0198019801980198,1,101,101,0,1,0,2,1166,103,0.0023995340710541643,0,0,103,101,583,101,1166,1166,50,11,0,11.544554455445544,2
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidPooledCallableStatement.java,java,promise_professional,936,125,0,936,813,57,2162,4324,4324,2219,8648,103776,57.0,5915232.0,0,0,0,0,0,0,1.982905982905983,1,117,117,0,1,0,115,4324,232,0.0021184892979764776,0,0,232,117,2162,57,4324,4324,199,9,0,36.957264957264954,4
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidPooledConnection.java,java,promise_professional,985,274,7,985,582,33,1696,3392,3392,1729,6784,74624,33.0,2462592.0,0,0,0,0,0,0,2.8260869565217392,1,46,46,0,1,0,84,3392,130,0.002869123813727654,0,0,130,46,1696,33,3392,3392,44,50,0,73.73913043478261,13
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidPooledPreparedStatement.java,java,promise_professional,854,204,2,854,754,63,2034,4068,4068,2097,8136,97632,63.0,6150816.0,0,0,0,0,0,0,2.159090909090909,1,88,88,0,1,0,102,4068,190,0.00252820949542261,0,0,190,88,2034,63,4068,4068,160,40,0,46.22727272727273,13
GitIntel,GitIntelProject\repo\druid\core\src\main\java\com\alibaba\druid\pool\DruidPooledResultSet.java,java,promise_professional,1551,202,0,1551,1345,99,3432,6865,6865,3531,13730,164760,99.01442307692308,16313616.346153846,0,0,0,0,0,0,1.9793814432989691,1,194,194,0,1,0,190,6865,384,0.0012761969331392452,0,0,384,194,3432,99,6865,6865,272,14,0,35.38659793814433,4
